ID;Title;DOI;DOI link;original CES;CES ;IPBES categories;Codigo IPBES;Definition;well defined
44;The use of crowdsourced geographic information for spatial evaluation of cultural ecosystem services in the agricultural landscape the case of Chianti Classico (Italy);10.30682/nm1902g;10.30682/nm1902g;CESs provided by viticultural landscapes;Enjoy the landscape;Physical and psychological experiences;16;Centered on aesthetic appreciation of a protected area or natural landscape. The photos selected containing the tags “wine”, “vineyard”, “Chianti”, and related words, were filtered;yes
40;Social media and deep learning reveal specific cultural preferences for biodiversity;10.1002/pan3.10466;10.1002/pan3.10466;Cultural preferences for biodiversity;Enjoy the fauna and flora;Physical and psychological experiences;16;We define a human interaction -species as an image that represents an individual species as its main theme and we greatly conceptualize these interactions as a cultural service related to the cognitive enjoyment of biodiversity. Based on a list of images of 36 species of birds available in Inaturalist, insects, plants, mammals, reptiles, fungi and others;yes
36;Scale dependency in drivers of outdoor recreation in England;10.1002/pan3.10042;10.1002/pan3.10042;Outdoor recreation;Recreation;Physical and psychological experiences;16;Opportunities for outdoor recreation in England range from the use of local green spaces by walkers, dog walkers, community gardeners and families (day-to-day recreation) to planned trips to coastal areas and protected landscapes by hikers, mountain bikers, climbers and other tourists (destination recreation);yes
24;Harnessing artificial intelligence technology and social media data to support Cultural Ecosystem Service assessments;10.1002/pan3.10199;10.1002/pan3.10199;Aesthetic value;Enjoy the landscape;Physical and psychological experiences;16;The definition is not exact but it says the following: For this work, we selected four CESs that are important for the UNESCO world heritage status and that are sensitive to the different pressures exerted by human use in the area, namely aesthetic value, outdoor recreation, cultural heritage and symbolic species (Locatelli et al., 2017);yes
24;Harnessing artificial intelligence technology and social media data to support Cultural Ecosystem Service assessments;10.1002/pan3.10199;10.1002/pan3.10199;Outdoor recreation;Recreation;Physical and psychological experiences;16;The definition is not exact but it says the following: For this work, we selected four CESs that are important for the UNESCO world heritage status and that are sensitive to the different pressures exerted by human use in the area, namely aesthetic value, outdoor recreation, cultural heritage and symbolic species (Locatelli et al., 2017);yes
24;Harnessing artificial intelligence technology and social media data to support Cultural Ecosystem Service assessments;10.1002/pan3.10199;10.1002/pan3.10199;Symbolic species;Enjoy the fauna and flora;Physical and psychological experiences;16;The definition is not exact but it says the following: For this work, we selected four CESs that are important for the UNESCO world heritage status and that are sensitive to the different pressures exerted by human use in the area, namely aesthetic value, outdoor recreation, cultural heritage and symbolic species (Locatelli et al., 2017);yes
24;Harnessing artificial intelligence technology and social media data to support Cultural Ecosystem Service assessments;10.1002/pan3.10199;10.1002/pan3.10199;Cultural heritage;Cultural heritage;Supporting identities;17;The definition is not exact but it says the following: For this work, we selected four CESs that are important for the UNESCO world heritage status and that are sensitive to the different pressures exerted by human use in the area, namely aesthetic value, outdoor recreation, cultural heritage and symbolic species (Locatelli et al., 2017);yes
33;Quantifying wildlife watchers' preferences to investigate the overlap between recreational and conservation value of natural areas;10.1111/1365-2664.13274;10.1111/1365-2664.13274;Recreation;Recreation;Physical and psychological experiences;16;Nature-based recreation substantially benefits human wellbeing, for example, by improving physical and mental health. ;yes
10;Characterizing nature-based recreation preferences in a Mediterranean small island environment using crowdsourced data;10.1080/26395916.2023.2274594;10.1080/26395916.2023.2274594;people's nature-based recreation;Recreation;Physical and psychological experiences;16;The definition is not exact but it says the following: Labels defining nature-based recreation (i.e. diving, hiking or people recreating in nature) were used to categorize images depicting nature-based recreational activities;yes
49;Using social media data and machine learning to map recreational ecosystem services;10.1016/j.ecolind.2023.110606;10.1016/j.ecolind.2023.110606;Recreation;Recreation;Physical and psychological experiences;16;"Recreation measured from geotagged photographs posted to Flickr based on the locations of natural habitats and other features that factor into people’s decisions about where to recreate. Our analysis focuses on nature-based recreation, i.e., recreational activities involving physical and experiential interactions with the natural environment. We manually categorized all labels and classified them into ten categories that depict: 1) trees; 2) other vegetation types; 3) accessibility; 4) wildlife; 5) rocks, hills, and mountains; 6) water; 7) recreational activities; 8) accommodation; 9) general landscape features; and 10) attractions";yes
