ID;Title;DOI;Authors;Extraccion de data de redes sociales;**Aborda aspectos relacionales?**;**Extracción de información de las redes sociales**;Intrumental/relational/intrinsic;CES relacionales;Consideraciones;Boundles Elicit;Seleccion de variables;Data extraction;Metrics variable;Relational;Intrinsec;Instrumental;Ethical considerations;Transparency;Accessibility;Replicability;Bundles
1;A New Approach to Mapping Cultural Ecosystem Services;10.3390/environments8060056;Ikram Mouttaki, Youssef Khomalli, Mohamed Maanan, Ingrida Bagdanavi?i ?t?, Hassan Rhinane, Alban Kuriqi, Quoc Bao Pham, Mehdi Maanan;The data extraction from social media involves using geotagged photos from Flickr to approximate tourist visits, focusing on geolocation metadata without analyzing image content, human labeling, AI, or text analysis.;The paper considers relational aspects by analyzing spatial correlations between landscape features and visiting rates, using the InVEST model to explore interactions and potential trade-offs between different cultural ecosystem services. It examines how these services bundle together to influence human preferences and attract tourists.;The extraction of information from social networks in this study involves using geotagged photos from Flickr to estimate tourist visits. The method relies on the spatial data associated with these photos, without analyzing their content. It does not use human tagging or AI analysis of the photo content. The model estimates visit rates based on the spatial correlation of photo locations.;instrumental;The paper discusses CESs as nonmaterial benefits improving human well-being, with a focus on their spatial distribution and relation to tourism and recreational activities. It identifies hotspots in Dakhla Bay related to proximity to the bay and ocean, indicating their significance for CESs. The tables provide data on visit rates and correlations between landscape features and visit rates, relevant to understanding CESs.;The paper addresses transparency and accessibility by using free and open-source software like InVEST and publicly available data from Flickr. Replicability is implied by the ability to extract data for any place in the world. Ethical considerations are noted with the declaration of no conflict of interest. However, explicit ethical considerations related to social media data are not detailed.;"The paper analyzes interactions between services and trade-offs, although it does not explicitly mention ""bundles."" It discusses the importance of balancing economic growth with cultural ecosystems' health and uses the InVEST model to evaluate interactions between landscape features and visit rates.";The selection of variables was based on the InVEST model's suggestions, expert knowledge, and literature on CES assessments. Variables were chosen from categories such as natural capital, built capital, industrial activities, and access. Statistical correlation using Pearson's correlation coefficient was used to evaluate relationships. Natural areas were excluded due to non-significant correlations.;geolocated photos;"Pearson correlation;Variance Inflation Factor (VIF)";no;no;yes;no;yes;yes;yes;no
68;A rapid indicator of cultural ecosystem service usage at a fine spatial scale: Content analysis of social media photographs;10.1016/j.ecolind.2015.01.034;Daniel R Richards, Daniel A Friess;"The data extraction mechanism involves human classification of photographs from Flickr using objective criteria related to the primary subject of the photograph. Eight individuals classified the photographs into categories such as nature appreciation, landscape, and social recreation. The reliability of the classification was assessed using Fleiss' kappa. No AI or automated image analysis was used; instead, human content analysis was employed.";The paper considers relational aspects and interactions between cultural ecosystem services, including trade-offs and the influence of physical, ecological, social, and demographic factors on CES provision. It discusses the different cultural roles of sites and suggests increasing diversity in cultural uses to manage trade-offs.;"The extraction of information from social media involves human classification of photographs from Flickr using objective criteria. The content of the images is analyzed by human classifiers to identify different types of cultural ecosystem services usage. No AI or automated image analysis is mentioned; instead, human judgment is used to categorize the photographs.";multiple values;;The paper addresses transparency by using Flickr's API and assessing reliability with Fleiss' kappa. Ethical considerations include potential biases in location data and photographer bias. Accessibility is limited by data availability in remote areas. Replicability is enhanced by randomizing photograph order and sampling on multiple occasions.;The paper analyzes interactions between services/bundles/trade-offs by discussing trade-offs between ecosystem services, unique cultural roles of different sites, and the potential loss of unique bundles of services due to development or degradation.;The selection of variables was based on environmental factors that could influence the types of photographs taken, including distance from footpaths, focal points, site entrance, and dominant habitat type. These variables were selected for their relevance to the spatial distribution of photographs and were used in MaxEnt modeling.;labelling by humman;no;no;no;yes;no;no;no;no;no
237;Advancing Sustainable Development and Protected Area Management with Social Media-Based Tourism Data;10.3390/su13052427;Katie K Arkema, David M Fisher, Katherine Wyatt, Spencer A Wood, Hanna J Payne;The mechanism of data extraction from social media involves using the InVEST Visitation model to access metadata from geolocated photographs on Flickr. The model calculates photo-user-days (PUD) based on this metadata to estimate visitation rates. The process relies on geolocation data without analyzing the content of the photographs or using human tagging or AI analysis.;"The paper considers relational aspects by examining how different factors such as accessibility, natural features, and infrastructure interact to influence visitation patterns across MPAs and islands. It also implies trade-offs between tourism development and environmental protection, but does not explicitly mention ""bundles"" or ""trade-offs"" in the context of cultural ecosystem services.";The paper uses the InVEST Visitation model to extract data from Flickr based on geolocated photographs' metadata (location and date), without analyzing the content of the photos themselves. No human tagging or AI analysis of photo content is mentioned.;instrumental;"- Development: ? = 2.029, p < 0.0001
- Access: ? = 0.160, p < 0.001
- Coral reef proximate to dive lodge: ? = 0.160, p = 0.035
- Beach: ? = 2.302, p < 0.001
- Bonefish habitat: ? = 0.087, p < 0.001
- Dredged ports: ? = 0.251, p < 0.001
- Pine: ? = 0.181, p < 0.001
- Agriculture: ? = -0.372, p = 0.002";The paper addresses transparency by using publicly available social media data, accessibility through the freely available InVEST Recreation Model, replicability by providing examples for other countries, and ethical considerations by declaring no conflict of interest.;The paper analyzes interactions between services/bundles/trade-offs by discussing sustainable tourism development and protected area planning, highlighting the importance of balancing economic benefits with environmental conservation, and identifying factors that influence visitation as bundles of services or features.;The selection of variables was based on a combination of expert opinion (identification of key natural features by stakeholders) and statistical criteria (removal of highly correlated variables to address multicollinearity).;geolocated photos;"Expert knowledge;Correlation analysis";no;no;yes;yes;yes;yes;yes;no
560;Aesthetic appreciation of the cultural landscape through social media: An analysis of revealed preference in the Dutch river landscape;10.1016/j.landurbplan.2018.05.002;Koen F Tieskens, Boris T Van Zanten, Catharina J E Schulp, Peter H Verburg, Heath, Hiking, Cycling, Shannon;"- Mechanism of data extraction: Automated API requests with Python to collect photos from Flickr and Panoramio.
- Human tagging: Manual content analysis of photos to filter out unrelated content and identify landscape elements.
- Analysis type: Visual content analysis of photos to identify landscape elements.
- No AI or machine learning used for content analysis in this study, but potential for future use.";The paper considers relational aspects by combining spatial regression with content analysis to understand what attracts people to landscapes. It discusses complex interpretations of landscape elements like monuments and forests, and highlights the importance of multiple factors and their interactions, such as hiking trails and water bodies. Social media data is used to provide insights into interactions with landscapes and valued elements.;The study uses human content analysis to extract information from social media photos. Photos are manually filtered to ensure they are related to landscape aesthetics, and specific landscape elements are identified within these photos. The study does not use AI or automated image analysis techniques for data extraction.;intrinsic;"Not mentioned (the paper does not explicitly mention ""CES relacionales"" or provide specific relational values for CES)";The paper discusses transparency in actual behavior, ethical considerations like lack of user information and skewed demographics, accessibility in terms of method simplicity, and replicability across landscapes. However, it does not explicitly address privacy or consent issues.;"The paper does not explicitly mention ""bundles"" or ""trade-offs,"" but it implies an analysis of interactions between landscape elements and visitor preferences, suggesting an implicit consideration of these concepts.";The selection of variables was done using stepwise selection to maximize residual deviance reduction adjusted for the number of degrees of freedom (adjusted D²). Additionally, multi-collinearity was checked using the Variance Inflation Factor (VIF).;labelling by humman;Variance Inflation Factor (VIF);yes;yes;yes;yes;yes;yes;yes;no
175;An Interpretation of Landscape Preferences Based on Geographic and Social Media Data to Understand Different Cultural Ecosystem Services;10.3390/land13020135;Teodoro Semeraro, Hannes Palang, Yuanting Yang, Wei Duan;"The extraction of social media data involves using the ""Octopus Collector"" software to collect data from Ctrip. The process includes dividing comments into phrases and extracting key words through filtering conditions. Both text analysis and human judgment are used to classify CES and assess landscape variables. While the paper mentions the potential use of deep learning models for image analysis, it does not specify their use in this study.";The paper primarily focuses on understanding how different landscape variables influence the public's preferences for various cultural ecosystem services (CESs) in Anshun, China. It discusses how different types of CESs are influenced by different landscape variables such as natural elements, infrastructure, and sensory elements. The study highlights the importance of considering these interactions for effective landscape planning and policy making to enhance tourism and local well-being. The paper does not explicitly mention bundles or trade-offs between CESs but emphasizes the need to consider the interplay between different landscape variables and CES types.;The paper uses a combination of text analysis (extracting comments and key words) and image analysis (using deep learning models) to extract information from social media. Human judgment is also involved in classifying CES based on word frequency analysis.;multiple values;"- Physical CESs: influenced by natural and infrastructure elements (e.g., elevation, distance to water bodies, distance to highroads)
- Experiential CESs: primarily influenced by sensory elements, particularly visual senses (e.g., Ctrip-vision)
- Intellectual CESs: influenced by natural and sensory elements (e.g., distance to water points, elevation, Ctrip-feel)
- Inspirational CESs: influenced by natural and infrastructure elements (e.g., elevation, distance to water bodies, distance to accommodation and restaurants)";The paper discusses ethical considerations related to privacy issues and limitations in data collection. It acknowledges limitations in sample size and data collection, affecting replicability and accessibility. Future improvements in methodology are suggested for increased transparency and replicability, and potential field interviews are planned for better engagement with local perspectives.;The paper analyzes interactions between different cultural ecosystem services (CESs) and landscape variables, identifying how physical, experiential, intellectual, and inspirational CESs are influenced by natural, infrastructural, and sensory elements. It suggests trade-offs in landscape planning to enhance tourists' experiences and promote balanced development.;The selection of variables is based on the importance of each variable in the Random Forest model, determined by the cumulative contribution of each variable to the decision tree branches.;text analysis;no;yes;no;yes;yes;yes;yes;yes;no
31;Assessing forest recreational potential from social media data and remote sensing technologies data;10.1016/j.ecolind.2023.110165;Federico Lingua, Nicholas C. Coops, Verena C. Griess;The data extraction from social media involves using convolutional neural networks to automatically classify the content of over 60,000 Flickr images, indicating an AI-based image analysis approach.;No, the paper does not address relational aspects such as interactions between different cultural ecosystem services, bundles, or trade-offs. It focuses on assessing forest recreational potential in isolation.;The paper uses convolutional neural networks to automatically classify the content of over 60,000 Flickr images, indicating that image analysis using AI is the mechanism for extracting information from social media.;instrumental;The CES relacionales in this paper refer to the cultural ecosystem services related to recreation, specifically the potential for recreational activities in BC's provincial parks system. These services are valued in terms of their relational impact on forest management and visitor needs, with a focus on topo-graphic variables influencing visitor choices.;The paper implies transparency and replicability through the use of publicly available data and well-documented machine learning techniques. Accessibility is suggested by the use of public Flickr images. Ethical considerations are not explicitly mentioned.;Not mentioned (the paper does not explicitly discuss bundles or trade-offs between services);The selection of variables was based on a random forest model, which inherently selects variables based on their predictive power. The exact criterion for selection (e.g., correlation, VIF) is not explicitly mentioned.;labelling by AI;no;no;no;yes;no;yes;yes;yes;no
144;Assessing grassland cultural ecosystem services supply and demand for promoting the sustainable realization of grassland cultural values;10.1016/j.scitotenv.2023.169255;Lan Wang, Lin Huang, Wei Cao, Jun Zhai, Jiangwen Fan, Paulo Pereira;The data extraction mechanism from social media involves automated web scraping using Python from platforms like Dianping and Mafengwo. The data is used to assess GCES demand by quantifying visitor numbers and is normalized for consistency. Kernel density analysis is used to identify demand hotspots.;The paper considers relational aspects by examining the spatial dynamics of GCES supply and demand, identifying areas with supply-demand imbalances, and discussing factors influencing spatial misalignment. It uses models like SolVES and geospatial analyses to understand these interactions. The tables likely provide further details on these relational aspects.;The paper uses Python for web scraping social media data from platforms like Dianping and Mafengwo. The data is processed by filtering, merging, and geographic encoding, and is used to quantify demand based on visitor counts rather than content analysis. There is no mention of AI, image analysis, or text analysis.;multiple values (instrumental, relational);"- Scenic travel value (ST-V)
- Spiritual belief value (SB-V)
- Science-education-history value (SEH-V)
- Grassland recuperation value (GH-V)";The paper addresses transparency by declaring no competing interests and making data available on request. Accessibility is ensured through online supplementary data. Replicability is implied by data availability. Ethical considerations include acknowledging potential biases in social media data and the need for more comprehensive methods.;The paper analyzes interactions between different bundles of cultural ecosystem services (CES) in grasslands, including scenic travel value, spiritual belief value, science-education-history value, and grassland recuperation value. These bundles are evaluated in terms of their supply and demand, highlighting a surplus of supply over demand for most services.; ;geolocated check-in;no;yes;no;yes;no;yes;yes;yes;no
34;Assessing the supply and demand linkage of cultural ecosystem services in a typical county-level city with protected areas in China;10.1016/j.ecolind.2023.109992;Yuqing Zhao, Weibin You, Xueer Lin, Dongjin He;The data extraction mechanism from social media involves collecting reviews from Dianping.com, a three-step screening process to ensure data quality, and quantifying demand based on the number of reviews and ratings. The analysis focuses on textual content and ratings without using AI for image analysis.;The paper considers relational aspects by assessing the supply and demand of cultural ecosystem services and their matching relationship, exploring differences across protected areas, using the SolVES model for spatial analysis, and discussing landscape governance and stakeholder preferences.;The extraction of information from social media involves analyzing user reviews and ratings from Dianping.com. The process includes a three-step screening to ensure data quality, focusing on the quantity and rating values rather than detailed content analysis. No AI or image analysis is mentioned in the process.;multiple values (instrumental, relational, intrinsic);"- Aesthetic inspiration: The area provides a rich source of inspiration for activities such as artistic creation, folklore, and architecture, and enables the enjoyment of beauty from different aspects.
- Education humanities: The area has important historical landscapes and objects of important cultural value, which transmit wisdom and knowledge.
- Recreation and ecotourism: The area is characterized by a natural or man-made landscape, a place where people choose to rest and relax during their leisure time.";The paper addresses transparency through the use of publicly available social media data and the SolVES model. Replicability is suggested by the model's accuracy and previous successful applications. Accessibility is ensured by making data available on request. Ethical considerations are addressed by declaring no competing financial interests or personal relationships.;The paper analyzes interactions between services by assessing the supply and demand of cultural ecosystem services (CESs) and their matching relationship in protected areas (PAs) and surrounding areas. It uses the ecological supply-demand ratio (ESDR) to measure surpluses or deficits, indicating an analysis of trade-offs between different CESs. The study also considers the need for diversified and multidimensional development of CESs, suggesting an examination of bundles or combinations of services.;The selection of variables in the study by Yuqing Zhao, Weibin You, Xueer Lin, Dongjin He (2023) includes elevation, slope, and hillshade as main environmental variables. These variables are chosen based on their relevance to the study area and their influence on the supply of cultural ecosystem services (CESs). The selection is part of the SolVES model's approach to integrating environmental factors with social survey data to evaluate CES supply.;text analysis;no;yes;no;yes;no;no;no;yes;no
528;Assessing the Supply-Demand Matching and Spatial Flow of Urban Cultural Ecosystem Services: Based on Geospatial Data and User Interaction Data;10.3390/land14040773;Linru Li, Yu Bai, Xuefeng Yuan, Feiyan Li;"- Mechanism: Text analysis using Latent Dirichlet Allocation (LDA) model.
- Data source: Comments from social media platforms (e.g., Dianping).
- Analysis: Word segmentation and filtering using jieba package; topic modeling to identify CES categories.
- Output: Quantified CES demand values and demand maps.";The paper does consider relational aspects, such as trade-offs and synergies within and between CESs and other ecosystem services. It discusses spatial overlaps and interactions between different services, indicating a focus on relational aspects.;"- The paper uses social media data, specifically user interaction data and comments' text.
- Natural language processing (NLP) techniques are employed using the jieba package for word segmentation and filtering.
- Machine learning techniques are used, specifically the LDA model, to identify topics and feature words.
- The LDA model is used to categorize topics into distinct CES types and establish a matching system between CESs and topics.
- Kernel density analysis is used to generate a demand map.";multiple values (instrumental, relational, intrinsic);"- Aesthetic: 27% high supply areas, four demand topics, focused on natural landscapes like Danxia landform and Wave Valley.
- Recreational: four demand topics, related to tourist experiences, photography, check-ins, and activities.
- Spiritual: two demand topics, associated with heritage, ancient cities, and historical themes.
- Educational: two demand topics, related to children, parks, and museums, reflecting ecological and cultural education.";The paper addresses ethical considerations by acknowledging potential biases in social media data and proposing participatory research to mitigate these biases. It emphasizes transparency by using social media data and discusses replicability by suggesting improvements to the model. Accessibility is considered through enhancing public understanding and awareness.;The paper analyzes interactions between services, specifically discussing trade-offs and synergies within and between cultural ecosystem services (CESs).;The selection of variables was based on relevance to the study's objectives and correlation analysis. Four natural factors and three spatial distance factors were selected for the Maxent model, and their correlation was tested (Figure A2).;labelling by AI;no;no;no;yes;yes;yes;yes;yes;no
151;Assessment of spatial variability of multiple ecosystem services in grasslands of different intensities;10.1016/j.jenvman.2019.109372;Le Clec'h Solen, Robert Finger, Nina Buchmann, Arjan S Gosal, Lukas Hörtnagl, Olivier Huguenin-Elie, Philippe Jeanneret, Andreas Lüscher, Manuel K Schneider, Robert Huber;The extraction of social media data involved querying the Flickr API to gather geo-tagged photographs within specific grassland categories. The method used a 100m buffer size around each point to capture relevant photos. The focus was on the number of photos rather than analyzing their content, with no human tagging or AI analysis involved.;Yes, the paper considers relational aspects such as trade-offs and synergies between different ecosystem services, using PCA to analyze these interactions. It discusses spatial variability and environmental drivers affecting ES provision, highlighting relational aspects like trade-offs between forage provision and other ES, and synergies between forage provision and biodiversity conservation.;"The paper uses an automated process to extract data from Flickr by querying the API to count the number of geo-tagged photographs in different grassland categories. No human tagging, image analysis, or text analysis is involved; only the location data of the photos is used.";instrumental;"- Trade-offs: Forage provision vs. C sequestration, bee species richness, and plant species richness.
- Synergies: Forage provision and biodiversity conservation within grassland categories.";The paper uses diverse data sources, including social media (Flickr), for assessing ecosystem services, enhancing transparency and replicability. Ethical considerations are implied through the use of publicly available data.;The paper analyzes interactions between services/bundles/trade-off by defining bundles as sets of ecosystem services that repeatedly appear together across space or time. It uses PCA to identify trade-offs and synergies between individual ecosystem service indicators, such as yield vs. C sequestration, bee species richness, and plant species richness. The paper highlights the importance of understanding these relationships for sustainable management and discusses spatial variability as a factor influencing bundle provision.;Mallows' Cp was used as the criterion for selecting variables to ensure a good fit and avoid noise and collinearity.;geolocated photos;Mallows' Cp;yes;no;yes;no;yes;no;yes;yes
